stock_name,Date,AdjClose,Monthly_Return
بتك,2021-04-30,35598.0,0.030840066023803292
وپارس,2021-05-31,2822.0,0.12880000000000003
خساپا,2021-06-30,1971.0,0.2634615384615384
سدور,2021-07-31,10230.0,0.28195488721804507
وآذر,2021-08-31,76320.0,0.23535124635804472
اتكاي,2021-09-30,10401.0,0.31992385786802036
جهرم,2021-10-31,1471.0,0.2067268252666119
شكلر,2021-11-30,40250.0,0.6361788617886179
بهپاك,2021-12-31,6814.0,0.2954372623574144
قچار,2022-01-31,11300.0,0.37269193391642363
وآذر,2022-02-28,46160.0,0.7204621692135669
وآذر,2022-03-31,66500.0,0.44064124783362213
بتك,2022-04-30,117650.0,0.4497843499691929
بتك,2022-05-31,162400.0,0.38036549086272853
وساپا,2022-06-30,5970.0,0.4130177514792899
وآذر,2022-07-31,100050.0,0.15785210045133669
خساپا,2022-08-31,2069.0,0.3357004519044544
بتك,2022-09-30,286950.0,0.3141744904969086
شپنا,2022-10-31,6240.0,0.11627906976744184
ثالوند,2022-11-30,7520.0,0.5643852714790929
اعتلا,2022-12-31,4570.0,0.415737298636927
ثالوند,2023-01-31,11320.0,0.6525547445255475
ثالوند,2023-02-28,16550.0,0.4620141342756183
ثشاهد,2023-03-31,14320.0,0.4824016563146998
ثشاهد,2023-04-30,30750.0,1.147346368715084
جهرم,2023-05-31,1363.0,0.2585410895660203
سشرق,2023-06-30,16320.0,0.11475409836065564
تكنار,2023-07-31,84600.0,0.13177257525083608
شپنا,2023-08-31,8110.0,0.353923205342237
كفرآور,2023-09-30,21700.0,0.1942762795817281
ثالوند,2023-10-31,13200.0,0.15586690017513138
كسرام,2023-11-30,9180.0,0.6844036697247706
ثشاهد,2023-12-31,17260.0,0.2284697508896798
كسرام,2024-01-31,17010.0,0.5986842105263157
وآذر,2024-02-29,9220.0,0.09112426035502952
لابسا,2024-03-31,9810.0,0.377808988764045
لابسا,2024-04-30,11860.0,0.20897043832823647
شكلر,2024-05-31,8760.0,0.03546099290780136
ثالوند,2024-06-30,14010.0,0.06946564885496187
فولاي,2024-07-31,5370.0,0.3553760726905604
فولاي,2024-08-31,5910.0,0.1005586592178771
ثشاهد,2024-09-30,10550.0,0.238262910798122
قچار,2024-10-31,4862.0,0.062035823503713505
ثالوند,2024-11-30,19940.0,0.5787806809184481
شپنا,2024-12-31,5120.0,0.3134940995382247
سشرق,2025-01-31,11740.0,0.2650862068965518
رتاپ,2025-02-28,2371.0,0.11892402076451147
وپارس,2025-03-31,3152.0,0.08952644313861047
وساپا,2025-04-30,5250.0,0.4681208053691275
كسرام,2025-05-31,9420.0,0.2904109589041095
تكنار,2025-06-30,56700.0,0.0017667844522968323
كرازي,2025-07-31,967.0,0.08165548098433995
فولاي,2025-08-31,4642.0,0.19025641025641016
شپنا,2025-09-30,4069.0,0.33980902206124464
ثشاهد,2025-10-31,8180.0,0.5009174311926605
كفرآور,2025-11-30,22050.0,0.27974463145676154
شفا,2025-12-31,16300.0,0.4818181818181819
بهپاك,2026-01-31,7770.0,0.18989280245022977
رتاپ,2026-02-28,4530.0,0.19651347068145797
اتكاي,2026-03-31,2205.0,0.0
اعتلا,2026-04-30,1552.0,0.0
كرازي,2026-05-31,1089.0,0.18627450980392157
