stock_name,Cumulative_Return
بتك,3.627457793994153
سشرق,0.6675977653631289
وساپا,0.04421768707482965
كسرام,-0.010989010989011505
كفرآور,-0.13383681096231703
غشاذر,-0.17040816326530583
سدور,-0.3270241850683492
رتاپ,-0.34526748971193477
پاسا,-0.45871559633027514
ونيكي,-0.508095676172953
وپارس,-0.5663299663299662
تكنار,-0.5995396094618195
شپنا,-0.6136528685548293
ثشاهد,-0.6336353340883352
جهرم,-0.6360045146726863
واتي,-0.6641744548286606
شفا,-0.6693104207975323
خودكفا,-0.7147069025320847
شكلر,-0.7333603896103896
خساپا,-0.795020746887967
اعتلا,-0.8294930875576036
بهپاك,-0.8313954811258505
اتكاي,-0.8849002540952587
ثالوند,-0.888888888888889
كحافظ,-0.8919540229885056
لابسا,-0.9360065466448445
فولاي,-0.9430075577801265
وآذر,-0.9520097146326655
كرازي,-0.9528162911611785
قچار,-0.962682501634343
