stock_name,Date,AdjClose,Monthly_Return
بهپاك,2021-04-30,6963.0,-0.8415663610093518
سدور,2021-05-31,8280.0,-0.5593400745077168
پاسا,2021-06-30,19000.0,-0.250197316495659
وآذر,2021-07-31,61780.0,-0.1420636022774615
كرازي,2021-08-31,1606.0,-0.9042908224076281
ثالوند,2021-09-30,16300.0,-0.34252984833817357
اعتلا,2021-10-31,3340.0,-0.5409565695437053
شفا,2021-11-30,17640.0,-0.5272045028142589
ثالوند,2021-12-31,5990.0,-0.2641277641277642
فولاي,2022-01-31,6940.0,-0.5339779747515445
لابسا,2022-02-28,6270.0,-0.8
خودكفا,2022-03-31,6550.0,-0.07485875706214684
قچار,2022-04-30,11140.0,-0.21659634317862164
وساپا,2022-05-31,4225.0,-0.2219152854511971
شكلر,2022-06-30,22270.0,-0.5158695652173912
قچار,2022-07-31,10600.0,-0.24555160142348753
اتكاي,2022-08-31,8000.0,-0.3115318416523236
ونيكي,2022-09-30,4380.0,-0.4895104895104895
وساپا,2022-10-31,3520.0,-0.22072171795439455
كرازي,2022-11-30,1282.0,-0.12907608695652173
رتاپ,2022-12-31,3037.0,-0.24490303331675778
پاسا,2023-01-31,9720.0,-0.4818763326226013
وآذر,2023-02-28,8850.0,-0.9172897196261682
ثالوند,2023-03-31,13930.0,-0.15830815709969792
بتك,2023-04-30,313850.0,0.04459976701614243
ثشاهد,2023-05-31,22290.0,-0.2751219512195122
لابسا,2023-06-30,8400.0,-0.14110429447852757
شپنا,2023-07-31,5990.0,-0.3154285714285714
تكنار,2023-08-31,68400.0,-0.19148936170212771
ثشاهد,2023-09-30,16010.0,-0.17813141683778233
رتاپ,2023-10-31,3163.0,-0.24474689589302767
واتي,2023-11-30,9400.0,-0.25574030087094224
لابسا,2023-12-31,8730.0,-0.13990147783251228
خودكفا,2024-01-31,6500.0,-0.3048128342245989
شپنا,2024-02-29,4719.0,-0.40038119440914866
شكلر,2024-03-31,9370.0,-0.7243306854957341
اعتلا,2024-04-30,2655.0,-0.3631566322859199
كسرام,2024-05-31,12340.0,-0.3132999443516973
غشاذر,2024-06-30,4870.0,-0.20424836601307195
وآذر,2024-07-31,5110.0,-0.21745788667687593
لابسا,2024-08-31,7260.0,-0.09925558312655092
سشرق,2024-09-30,7040.0,-0.48349229640498903
شپنا,2024-10-31,3221.0,-0.1997515527950311
اتكاي,2024-11-30,2394.0,-0.10101389410439354
ثالوند,2024-12-31,9550.0,-0.5210631895687061
ونيكي,2025-01-31,5430.0,-0.4498480243161094
فولاي,2025-02-28,4310.0,-0.38951841359773376
لابسا,2025-03-31,4740.0,-0.47274749721913234
واتي,2025-04-30,4448.0,-0.4460772104607721
خساپا,2025-05-31,520.0,-0.8231292517006803
كحافظ,2025-06-30,1951.0,-0.5508747697974217
ثشاهد,2025-07-31,6490.0,-0.23104265402843605
كحافظ,2025-08-31,1100.0,-0.2966751918158568
تكنار,2025-09-30,47700.0,-0.12876712328767126
اتكاي,2025-10-31,2246.0,-0.17487141807494488
اعتلا,2025-11-30,1599.0,-0.08784940102681116
وپارس,2025-12-31,1758.0,-0.3829413829413829
ثشاهد,2026-01-31,6990.0,-0.23186813186813182
ثالوند,2026-02-28,3279.0,-0.3950184501845019
اعتلا,2026-03-31,1552.0,-0.09924550203134064
فولاي,2026-04-30,2858.0,-0.24986876640419953
شپنا,2026-05-31,5320.0,-0.13495934959349598
